79	111	1
88	134	1
100	144	1
130	123	1
114	105	1
105	109	1
112	136	1
123	111	1
162	117	1
165	161	1
130	159	1
101	141	1
116	103	1
158	103	1
164	108	1
167	109	1
460	132	3
390	151	3
446	178	3
463	151	3
427	151	3
439	188	3
366	191	3
374	169	3
378	182	3
391	210	3
414	209	3
409	168	3
408	187	3
434	206	3
458	182	3
462	213	3
450	202	3
462	168	3
470	202	3
448	220	3
390	243	3
372	186	3
372	223	3
399	223	3
443	230	3
98	289	4
143	330	4
197	289	4
140	282	4
133	324	4
158	304	4
133	326	4
113	306	4
113	301	4
145	301	4
134	326	4
122	341	4
94	312	4
100	308	4
105	350	4
197	350	4
163	283	4
161	348	4
158	351	4
148	358	4
175	308	4
182	319	4
178	335	4
163	326	4
162	335	4
117	310	4
106	331	4
115	359	4
147	354	4
121	332	4
99	365	4
140	372	4
147	369	4
148	379	4
450	315	5
451	374	5
443	381	5
434	354	5
444	350	5
465	365	5
423	355	5
439	344	5
481	355	5
441	388	5
415	373	5
428	334	5
455	349	5
456	392	5
442	398	5
501	392	5
501	369	5
487	380	5
488	384	5
492	383	5
414	351	5
419	386	5
478	392	5
454	409	5
441	415	5
411	397	5
254	486	1
263	512	1
288	541	1
321	492	1
205	472	1
258	535	1
307	500	1
241	491	1
259	517	1
280	499	1
283	489	1
275	498	1
247	517	1
227	520	1
224	512	1
227	493	1
268	495	1
270	508	1
296	533	1
300	523	1
300	485	1
255	460	1
231	485	1
251	516	1
202	494	1
199	511	1
199	518	1
244	532	1
266	530	1
270	495	1
246	503	1
232	525	1
301	537	1
300	490	1
284	442	1
266	467	1
273	485	1
282	476	1
287	474	1
550	495	5
530	516	5
524	520	5
530	541	5
568	528	5
541	490	5
538	523	5
569	525	5
520	502	5
517	508	5
506	533	5
531	549	5
519	505	5
506	513	5
513	537	5
538	505	5
501	495	5
489	527	5
512	541	5
513	504	5
481	502	5
484	532	5
519	544	5
541	548	5
555	529	5
526	497	5
499	509	5
488	546	5
506	551	5
529	60	2
532	52	2
503	72	2
564	96	2
552	62	2
530	84	2
536	94	2
517	72	2
533	122	2
522	82	2
490	99	2
482	109	2
510	111	2
516	109	2
524	82	2
520	106	2
508	88	2
503	85	2
489	61	2
512	54	2
517	58	2
553	118	2
558	119	2
562	106	2
565	103	2
